question,daily_pool,vol24h,liq,mid,spread_c,max_c,min_size,dtr,bid_qual,ask_qual,cap_used,share_pct,daily_$,weekly_$,wk_ROC_%
Will 30 ships transit the Strait of Hormuz on any da,100.0,4005,11145,0.1165,0.7,4.5,200,7.8,4432,3411,198.6,4.85,4.85,33.96,17.1
Will WTI Crude Oil (WTI) hit (LOW) $85 in July?,200.0,28105,11042,0.395,1.0,4.5,100,8.0,3709,4703,99.0,2.32,4.64,32.51,32.8
"Will ""Arirang - BTS"" be the top album for 2026?",200.0,5401,8557,0.175,1.0,4.5,20,159.8,5556,2943,99.0,2.3,4.6,32.19,32.5
"Will ""Arirang - BTS"" be the top album for 2026?",200.0,5401,8557,0.175,1.0,4.5,20,159.8,5556,2943,99.0,2.3,4.6,32.19,32.5
"Will LeBron sign his next NBA contract by July 24, 2",20.0,1737,984,0.0355,2.5,4.5,50,,375,301,97.5,22.81,4.56,31.93,32.8
Will the Fed Pause–Pause–Pause in the next three dec,230.0,25044,19706,0.34,2.0,4.5,200,53.8,3685,16249,196.0,1.97,4.52,31.67,16.2
Will Vitality Qualify to LAN BLAST Bounty 2026 Seaso,60.0,3720,1107,0.84,2.0,4.5,20,9.8,394,2095,98.0,7.43,4.46,31.22,31.9
"Andrew Tate released from custody by December 31, 20",50.0,7008,13433,0.21,2.0,4.5,100,159.8,1387,667,98.0,8.87,4.44,31.05,31.7
US announces halt in Iran offensive operations by Ju,200.0,42743,29418,0.19,2.0,4.5,200,38.8,13613,4033,196.0,2.22,4.43,31.03,15.8
Will James Fishback finish second in the Florida Rep,7.0,1368,1820,0.22,2.0,4.5,50,25.8,69,48,98.0,62.76,4.39,30.75,31.4
Will S&P 500 (SPY) hit (LOW) $720 in July?,50.0,3629,2629,0.31,2.0,4.5,50,7.9,235,1846,98.0,8.77,4.38,30.68,31.3
Will Silver (XAGUSD) hit (LOW) $54 in July?,50.0,3589,2974,0.335,1.0,4.5,50,7.9,1526,590,99.0,8.63,4.32,30.22,30.5
Will there be no Likud party primary by the next Kne,29.0,1990,1702,0.485,1.0,5.5,50,94.8,250,920,99.0,14.59,4.23,29.61,29.9
Will Mads Pedersen be awarded the Green Jersey at th,114.0,2279,1957,0.8715,0.9,4.5,50,16.8,2045,3358,99.1,3.57,4.07,28.48,28.7
Will FURIA Qualify to The 2026 Blast Bounty Season 2,5.0,1777,227,0.84,8.0,4.5,50,9.8,7,40,92.0,80.87,4.04,28.3,30.8
"Will ""A Toxic Love Story"" be the top US Netflix movi",26.0,2702,4893,0.28,4.0,4.5,50,4.8,563,525,96.0,15.52,4.03,28.24,29.4
Will Elon Musk’s net worth be between $0.80T and $0.,13.0,4500,2243,0.1525,5.5,5.5,50,7.8,103,343,94.5,30.95,4.02,28.16,29.8
Israel military action against Greater Beirut by Jul,100.0,5719,6121,0.11,2.0,4.5,200,7.8,6678,3020,196.0,3.96,3.96,27.72,14.1
US Government removes public access to another Anthr,50.0,1341,3945,0.21,2.0,4.5,100,160.8,1118,1258,98.0,7.76,3.88,27.16,27.7
Will LeBron James play for the Miami Heat in 2026-27,1266.0,344246,81402,0.431,0.8,4.5,200,98.9,121467,10994,198.4,0.3,3.81,26.68,13.4
Israel military action against Yemen by July 31?,50.0,11428,7310,0.17,2.0,4.5,200,7.8,3675,1198,196.0,7.58,3.79,26.55,13.5
Will Sydney Kamlager-Dove win the CA-37 House seat?,400.0,7768,9366,0.935,1.0,4.5,20,102.8,8092,13115,99.0,0.93,3.74,26.16,26.4
Will SpaceX Starship Flight Test 13 Superheavy explo,200.0,30778,24638,0.805,1.0,4.5,100,159.8,7553,3339,99.0,1.8,3.61,25.24,25.5
"Will Trump meet with Netanyahu by July 31, 2026?",70.0,58767,12030,0.235,1.0,4.5,200,7.8,4815,2761,198.0,5.01,3.51,24.57,12.4
Will OpenAI announce a tablet in 2026?,5.0,3762,822,0.115,3.0,4.5,20,159.8,21,70,97.0,68.55,3.43,23.99,24.7
Will Aq Jol win the second most seats in the 2026 Ka,19.0,1901,7356,0.2285,9.3,5.5,50,30.8,165,746,90.7,17.99,3.42,23.92,26.4
Will no qualifying diplomatic US-Iran meeting occur ,202.0,6957,34338,0.297,0.6,4.5,50,68.8,8096,3597,99.4,1.68,3.4,23.78,23.9
Israel closes its airspace by July 24?,300.0,181464,22542,0.085,1.0,4.5,200,6.8,28197,7603,198.0,1.1,3.31,23.2,11.7
Will Loranne Ausley win the Tallahassee mayoral elec,47.0,2327,2181,0.46,2.0,4.5,100,25.4,1047,1606,98.0,7.01,3.29,23.06,23.5
Will a Chinese company have one of the top 3 AI mode,50.0,2828,2969,0.19,2.0,4.5,100,159.8,1971,865,98.0,6.59,3.29,23.05,23.5
Will S&P 500 (SPY) hit (LOW) $710 in July?,20.0,2560,1241,0.21,2.0,4.5,50,7.9,640,458,98.0,15.4,3.08,21.56,22.0
US announces halt in Iran offensive operations by Au,200.0,11736,69863,0.65,2.0,4.5,50,38.8,7436,5511,98.0,1.52,3.04,21.3,21.7
"US announces end of Iranian blockade by July 31, 202",200.0,45612,30223,0.13,2.0,3.5,200,7.8,19866,6112,196.0,1.52,3.03,21.23,10.8
Will Matt Little be the Democratic nominee for MN-02,16.0,1385,1241,0.755,3.0,4.5,50,17.8,393,475,97.0,18.7,2.99,20.95,21.6
Will Moderna (MRNA) beat quarterly earnings?,40.0,1361,1459,0.845,3.0,4.5,50,7.3,846,1667,97.0,7.37,2.95,20.63,21.3
Will Powell Industries (POWL) beat quarterly earning,40.0,2073,1231,0.735,1.0,4.5,50,10.7,1366,1198,99.0,7.23,2.89,20.25,20.5
Fed Rate Hike by October 2026 Meeting?,150.0,3702,22672,0.685,1.0,4.5,200,137.8,10707,9899,198.0,1.9,2.86,19.99,10.1
Will Elon Musk post 40-64 tweets from July 25 to Jul,150.0,2216,9072,0.445,1.0,4.5,20,3.4,3623,6833,99.0,1.88,2.82,19.71,19.9
Mitch McConnell steps down from Senate before his te,100.0,228540,76962,0.42,2.0,3.5,200,162.8,5519,8793,196.0,2.72,2.72,19.03,9.7
"Will GPT-6 be released by August 21, 2026?",50.0,4925,6508,0.235,1.0,4.5,20,27.8,2895,585,99.0,5.43,2.72,19.01,19.2
Will Elon Musk post 680-719 tweets in July 2026?,11.0,3551,2729,0.073,1.6,4.5,50,7.9,542,70,98.4,24.61,2.71,18.95,19.3
Over $30M committed to the RipCars public sale?,10.0,8928,9929,0.725,3.0,4.5,50,38.9,145,399,97.0,26.86,2.69,18.8,19.4
Will the Fed increase interest rates by 25 bps after,544.0,47944,125917,0.515,1.0,4.5,200,53.8,64788,19211,198.0,0.47,2.58,18.05,9.1
"US x Iran diplomatic meeting by August 31, 2026?",200.0,22852,30816,0.315,1.0,4.5,200,38.8,26797,4088,198.0,1.28,2.56,17.9,9.0
Will WTI Crude Oil (WTI) hit (HIGH) $100 in July?,200.0,122493,30704,0.364,2.0,4.5,100,8.0,14288,1240,98.0,1.27,2.54,17.8,18.2
"Will ""72 Hours"" be the top US Netflix movie this wee",24.0,1875,1960,0.73,4.0,4.5,50,4.8,354,1346,96.0,10.52,2.53,17.68,18.4
Will Trump meet with Benjamin Netanyahu in July 2026,50.0,20512,5896,0.2755,2.7,6.5,100,7.8,2126,1641,97.3,5.04,2.52,17.64,18.1
Will “The Late Show With Stephen Colbert” win Emmys ,24.0,2096,5601,0.25,4.0,4.5,50,52.6,499,1246,96.0,10.28,2.47,17.27,18.0
Will the next Claude Opus model be released on July ,16.0,15375,1957,0.0915,4.1,4.5,50,4.8,1080,34,95.9,15.2,2.43,17.03,17.8
"Will GPT-6 be released by August 31, 2026?",50.0,3261,4810,0.35,2.0,4.5,20,37.8,3150,797,98.0,4.82,2.41,16.88,17.2
Will LeBron James play for the Cleveland Cavaliers i,650.0,120877,55320,0.257,0.2,4.5,200,98.9,98826,8782,199.6,0.37,2.41,16.85,8.4
US x Iran Effective Ceasefire by August 31?,300.0,15891,84658,0.51,2.0,3.5,200,38.8,30999,21447,196.0,0.76,2.27,15.9,8.1
Will John Braun earn the most votes in the WA-03 pri,9.0,1869,1211,0.885,3.0,4.5,50,10.8,332,277,97.0,24.7,2.22,15.56,16.0
Will Isaac del Toro win the White Jersey at the 2026,114.0,4219,5492,0.51,2.0,4.5,50,16.8,5242,4992,98.0,1.92,2.18,15.29,15.6
Will Saudi Arabia join the Abraham Accords before 20,50.0,29939,28314,0.115,1.0,3.5,200,159.8,7321,1592,198.0,4.29,2.15,15.03,7.6
Will Richard Carapaz be awarded the Polka Dot Jersey,81.0,12750,5393,0.37,2.0,4.5,50,16.8,5400,1950,98.0,2.65,2.15,15.02,15.3
Fed Rate Hike by July 2026 Meeting?,150.0,17298,40495,0.238,0.2,4.5,200,137.8,24611,2994,199.6,1.43,2.14,15.0,7.5
Will Cleveland Guardians win the 2026 AL Central tit,50.0,1984,5013,0.455,1.0,4.5,40,78.8,2847,733,79.2,4.28,2.14,14.97,18.9
Will Yordan Alvarez win the 2026 American League MVP,200.0,3246,13535,0.816,0.4,4.5,50,111.8,10229,8826,99.6,1.04,2.08,14.54,14.6
Will Mark Sutcliffe win the 2026 Ottawa mayoral elec,30.0,1505,3831,0.515,1.0,5.5,50,93.8,1727,972,99.0,6.9,2.07,14.48,14.6
Will Renan Santos finish in third place in the first,188.0,3929,22696,0.675,1.0,5.5,50,71.8,4437,13609,99.0,1.1,2.06,14.42,14.6
Will Iran withdraw from the NPT before 2027?,40.0,2330,10450,0.206,0.8,3.5,200,159.8,5282,2162,198.4,5.1,2.04,14.27,7.2
Fed Rate Hike by September 2026 Meeting?,150.0,34479,24188,0.61,2.0,4.5,200,137.8,16930,12348,196.0,1.35,2.02,14.15,7.2
Bank of England increases interest rates by 25 bps a,25.0,3288,2833,0.438,0.8,4.5,50,55.8,269,2021,99.2,8.03,2.01,14.05,14.2
"Will the federal gas tax be suspended by November 2,",2.0,4587,4895,0.3,10.0,4.5,50,100.8,0,0,90.0,100.0,2.0,14.0,15.6
Will the Fed’s upper bound reach 4.25% or higher bef,2.0,3079,14370,0.3905,9.3,3.5,20,159.8,0,0,90.7,100.0,2.0,14.0,15.4
No change in Bank of England’s interest rates after ,25.0,1367,2118,0.575,1.0,4.5,50,55.8,733,1575,99.0,7.97,1.99,13.95,14.1
US x Iran Effective Ceasefire by August 14?,200.0,7457,54192,0.335,1.0,4.5,200,21.8,21146,20825,198.0,0.94,1.89,13.22,6.7
Will the ECB announce a 25 bps increase at the Septe,27.0,2234,12712,0.82,2.0,4.5,50,48.3,953,1722,98.0,6.96,1.88,13.15,13.4
Will the US announce withdrawal from MOU negotiation,100.0,3944,10618,0.255,1.0,4.5,100,38.8,5930,4739,99.0,1.84,1.84,12.88,13.0
Will Elon Musk post <40 tweets from July 25 to July ,102.0,4424,10561,0.265,1.0,4.5,20,3.4,4681,6220,99.0,1.8,1.84,12.86,13.0
Will Claude go down 6-8 times in July?,33.0,1414,4246,0.197,2.8,5.5,50,7.8,1437,2012,97.2,5.48,1.81,12.66,13.0
Will MicroStrategy (MSTR) beat quarterly earnings?,20.0,1710,2143,0.0725,0.5,4.5,50,6.7,786,1239,99.5,8.99,1.8,12.58,12.6
Will Madonna's monthly listeners figure hit 60m by A,5.0,2348,398,0.055,1.0,4.5,50,38.8,142,219,99.0,35.57,1.78,12.45,12.6
Will Auyl win the second most seats in the 2026 Kaza,59.0,25485,12569,0.515,1.0,5.5,50,30.8,4031,2442,99.0,3.0,1.77,12.38,12.5
Will the ECB announce no change at the September 202,25.0,5440,8962,0.175,3.0,4.5,50,48.3,102,2531,97.0,7.06,1.76,12.35,12.7
Will the Starship for SpaceX Starship Flight Test 13,50.0,3552,5333,0.765,1.0,4.5,100,159.8,1905,3695,99.0,3.45,1.72,12.07,12.2
Will LeBron James play for the Golden State Warriors,422.0,135485,58494,0.18,0.2,4.5,200,98.9,82134,16000,199.6,0.41,1.71,11.99,6.0
Will Alibaba have the best Chinese AI model at the e,120.0,12966,11254,0.804,0.8,4.5,50,6.8,6449,7560,99.2,1.41,1.69,11.82,11.9
Will Tadej Pogačar be awarded the Polka Dot Jersey a,62.0,2125,4440,0.29,2.0,4.5,50,16.8,2302,4887,98.0,2.71,1.68,11.75,12.0
"Total Internet Blackout in Iran by July 31, 2026?",20.0,22840,5448,0.116,0.8,4.5,50,6.8,1431,815,99.2,8.17,1.63,11.44,11.5
Will the US economy be in a soft landing at the end ,30.0,2275,3191,0.55,2.0,4.5,50,190.8,1362,2189,98.0,5.33,1.6,11.19,11.4
Will WTI Crude Oil (WTI) hit (LOW) $80 in July?,50.0,58960,30484,0.18,2.0,4.5,50,8.0,1985,4146,98.0,3.16,1.58,11.06,11.3
Will the median home value in Los Angeles Metro be b,22.0,1429,3079,0.38,2.0,4.5,50,67.9,1448,1316,98.0,6.75,1.48,10.39,10.6
Will there be no next Google Gemini Pro model releas,100.0,5264,9658,0.9405,0.5,4.5,50,7.8,3235,10166,99.5,1.47,1.47,10.29,10.3
Will SpaceX Starship Flight Test 13 launch by July 3,20.0,6081,11032,0.9215,1.3,4.5,50,6.8,843,1681,98.7,7.34,1.47,10.28,10.4
"Will Anthropic IPO by October 31, 2026?",100.0,5008,8741,0.445,1.0,5.5,50,341.8,13032,407,99.0,1.47,1.47,10.26,10.4
Anthropic IPO before 2027?,10.0,3356,11421,0.67,2.0,3.5,200,159.8,1288,1044,196.0,14.64,1.46,10.25,5.2
Will the Houthis successfully target shipping by Aug,5.0,2670,8173,0.76,4.0,4.5,50,38.8,94,390,96.0,29.24,1.46,10.23,10.7
Will monthly inflation increase by 0.1% or more in J,31.0,4348,4447,0.645,1.0,4.5,50,18.9,1498,2553,99.0,4.7,1.46,10.21,10.3
"Will Warsh say ""Renovation"" during July Press Confer",50.0,1411,2367,0.065,1.0,4.5,30,5.8,3732,2372,89.1,2.86,1.43,10.02,11.3
Will there be no change in Fed interest rates after ,456.0,24498,120541,0.405,1.0,4.5,200,53.8,72744,57049,198.0,0.31,1.4,9.81,5.0
Will Strait of Hormuz traffic return to normal in De,8.0,2390,7172,0.15,4.0,4.5,50,160.8,481,462,96.0,17.49,1.4,9.8,10.2
Will Keith Gross be the FL-02 Republican nominee?,13.0,3415,2286,0.525,1.0,4.5,50,25.8,1507,155,99.0,10.74,1.4,9.77,9.9
Will Alexander Vindman be the Democratic nominee for,11.0,1647,747,0.8845,0.9,4.5,50,24.8,442,967,99.1,12.42,1.37,9.56,9.7
Will the next Claude Opus model be released on July ,8.0,12482,4553,0.0275,3.3,4.5,50,5.8,746,233,96.7,16.95,1.36,9.49,9.8
Israel closes its airspace by August 15?,100.0,16917,18466,0.515,1.0,4.5,50,21.8,13440,1143,99.0,1.35,1.35,9.47,9.6
Will Abdul El-Sayed win Washtenaw County in the Mich,20.0,2042,3051,0.935,1.0,4.5,50,11.8,2047,764,99.0,6.64,1.33,9.3,9.4
Will Mike Lindell win the 2026 Minnesota Governor Re,10.0,2025,3442,0.53,4.0,4.5,50,17.8,451,874,96.0,13.11,1.31,9.18,9.6
