score,edge,leg,k_size,max_$,kalshi,poly
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 35-39"
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 40-44"
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 21 - July 28, 2026? | 55-59"
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 24? | 90-100
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Dogecoin hit in July? | ↑ 0.15
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | $3.25–$3.50
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"OpenAI IPO by...? | July 31, 2026"
0.5,0.958,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,July 2026 Temperature Increase (ºC) | >1.29ºC
0.67,0.957,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 17 - July 24, 2026? | 40-59"
0.5,0.957,kalYES+polyNO,500.0,478.5,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 24? | 60,000"
0.5,0.957,kalYES+polyNO,500.0,478.5,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 24? | 60,000"
0.5,0.957,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Anthropic IPO by __? | July 31, 2026"
0.5,0.957,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Hyperliquid hit in July? | ↑ 88
0.5,0.957,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,July 2026 Temperature Increase (ºC) | <1.10ºC
0.67,0.956,kalYES+polyNO,500.0,478.0,Will the GOLD close price be above 4075.99 USD,XRP above ___ on July 24? | 0.90
0.67,0.956,kalYES+polyNO,500.0,478.0,Will the GOLD close price be above 4073.99 USD,XRP above ___ on July 24? | 0.90
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 2.00
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 25? | 70,000"
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit in July? | ↓ 40
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | 58,000-60,000"
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit July 20-26? | ↓ 0.50
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↑ 1.35
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↑ 1.30
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↑ 1.25
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↓ 0.95
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↓ 0.90
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Dogecoin hit in July? | ↑ 0.20
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | $3.00–$3.25
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | ≥$3.50
0.5,0.956,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 21 - July 28, 2026? | 200+"
0.67,0.955,kalYES+polyNO,500.0,477.5,Will the GOLD close price be above 4075.99 USD,XRP above ___ on July 24? | 1.00
0.67,0.955,kalYES+polyNO,500.0,477.5,Will the GOLD close price be above 4073.99 USD,XRP above ___ on July 24? | 1.00
0.67,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 24? | 0.80-0.90
0.67,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP above ___ on July 25? | 1.50
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 24? | 68,000"
0.5,0.955,kalYES+polyNO,500.0,477.5,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 25? | 56,000"
0.5,0.955,kalYES+polyNO,500.0,477.5,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 25? | 56,000"
0.5,0.955,kalYES+polyNO,500.0,477.5,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 25? | 58,000"
0.5,0.955,kalYES+polyNO,500.0,477.5,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 25? | 58,000"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"What will Gold (XAUUSD) hit in July 2026? | ↑ $4,600"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"What will Gold (XAUUSD) hit in July 2026? | ↓ $3,400"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"What will Gold (XAUUSD) hit in July 2026? | ↓ $3,300"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 27? | 76,000"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit July 20-26? | ↓ 0.40
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↑ 95
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↓ 70
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 25? | <56,000"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 25? | 56,000-58,000"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 21 - July 28, 2026? | 45-49"
0.5,0.955,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Zelenskyy # posts July 21 - July 28, 2026? | 20-39"
0.5,0.954,kalYES+polyNO,500.0,477.0,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 27? | 56,000"
0.5,0.954,kalYES+polyNO,500.0,477.0,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 27? | 56,000"
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 25? | 2,300"
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit July 20-26? | ↑ 1.80
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit July 20-26? | ↓ 0.70
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↓ 65
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum price on July 25? | >2,300"
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 25? | 110
0.5,0.954,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 25? | 120
0.67,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,How many 6.5 or above earthquakes July 20 - July 26? | 5
0.67,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 25? | <0.60
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↑ 1.80
0.5,0.953,kalYES+polyNO,500.0,476.5,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 25? | 60,000"
0.5,0.953,kalYES+polyNO,500.0,476.5,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 25? | 60,000"
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 25? | 72,000"
0.5,0.953,kalYES+polyNO,500.0,476.5,Will the GOLD close price be above 4075.99 USD,"Ethereum above ___ on July 25? | 1,300"
0.5,0.953,kalYES+polyNO,500.0,476.5,Will the GOLD close price be above 4073.99 USD,"Ethereum above ___ on July 25? | 1,300"
0.5,0.953,kalYES+polyNO,500.0,476.5,Will the GOLD close price be above 4075.99 USD,"Ethereum above ___ on July 25? | 1,400"
0.5,0.953,kalYES+polyNO,500.0,476.5,Will the GOLD close price be above 4073.99 USD,"Ethereum above ___ on July 25? | 1,400"
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit July 20-26? | ↑ 1.70
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit on July 23? | ↑ 85
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 25? | 58,000-60,000"
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 21 - July 28, 2026? | 60+"
0.5,0.953,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 25? | 100
0.67,0.952,kalYES+polyNO,500.0,476.0,Will the GOLD close price be above 4075.99 USD,Solana above ___ on July 25? | 60
0.67,0.952,kalYES+polyNO,500.0,476.0,Will the GOLD close price be above 4073.99 USD,Solana above ___ on July 25? | 60
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit in July? | ↓ 0.60
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"GPT-6 released by…? | July 31, 2026"
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 24? | 68,000-70,000"
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 25? | 72,000-74,000"
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 25? | >74,000"
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Macron out by...? | July 31, 2026"
0.5,0.952,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 26? | 2,400"
0.67,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 26? | <30
0.67,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 26? | 30-40
0.67,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 26? | 40-50
0.67,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,XRP price on July 25? | >1.50
0.67,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4075.99 USD,Solana above ___ on July 25? | 20
0.67,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4073.99 USD,Solana above ___ on July 25? | 20
0.5,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 28? | 56,000"
0.5,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 28? | 56,000"
0.5,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4075.99 USD,"Bitcoin above ___ on July 26? | 56,000"
0.5,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4073.99 USD,"Bitcoin above ___ on July 26? | 56,000"
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 26? | 58,000-60,000"
0.5,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4075.99 USD,"Ethereum above ___ on July 25? | 1,500"
0.5,0.951,kalYES+polyNO,500.0,475.5,Will the GOLD close price be above 4073.99 USD,"Ethereum above ___ on July 25? | 1,500"
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 17 - July 24, 2026? | 30-34"
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana price on July 26? | >120
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 25? | 70,000-72,000"
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↑ 1.20
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will XRP hit on July 23? | ↓ 1.00
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 21 - July 28, 2026? | 50-54"
0.5,0.951,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,July 2026 Temperature Increase (ºC) | 1.10–1.14ºC
0.67,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Solana above ___ on July 24? | 80
0.67,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"CZ # posts July 21 - July 28, 2026? | 80-99"
0.67,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Gold (XAUUSD) Up or Down on July 23? | Gold (XAUUSD) Up 
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 29? | 74,000"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin above ___ on July 26? | 70,000"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 26? | <56,000"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Zelenskyy # posts July 24 - July 31, 2026? | 20-39"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 21 - July 28, 2026? | 40-44"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 27? | 2,400"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Ethereum above ___ on July 28? | 2,400"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,Price of Dozen Eggs in July? | $2.50–$2.75
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,What price will Solana hit July 20-26? | ↓ 50
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Bitcoin price on July 28? | >76,000"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 24 - July 31, 2026? | 50-54"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 24 - July 31, 2026? | 55-59"
0.5,0.95,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4017.99 USD,"Khamenei # posts July 24 - July 31, 2026? | 60+"
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP above ___ on July 24? | 1.40
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP above ___ on July 24? | 1.50
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP above ___ on July 24? | 1.60
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,"CZ # posts July 17 - July 24, 2026? | 60-79"
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,"CZ # posts July 17 - July 24, 2026? | 80-99"
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP price on July 24? | <0.60
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP price on July 24? | 0.60-0.70
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP price on July 24? | 0.70-0.80
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP price on July 24? | 1.40-1.50
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,XRP price on July 24? | >1.50
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,Solana price on July 24? | <30
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,Solana price on July 24? | 30-40
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,Solana price on July 24? | 40-50
0.67,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,Solana price on July 24? | 50-60
0.5,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,"Bitcoin above ___ on July 24? | 70,000"
0.5,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,"Bitcoin above ___ on July 24? | 72,000"
0.5,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,"Bitcoin above ___ on July 24? | 74,000"
0.5,0.949,polyYES+kalNO,0.0,0.0,Will the GOLD close price be above 4019.99 USD,What price will XRP hit in July? | ↑ 2.60
